"row ID","time","date","localTime","windSpeed","windDirection","temperature","humidity","barometricPressure","solarRadiation"
"1",1475315718,"2016-09-30","23:55:18",7.87,151.95,48,80,30.46,1.27
"2",1475315423,"2016-09-30","23:50:23",7.87,176.14,48,79,30.46,1.25
"3",1475315124,"2016-09-30","23:45:24",9.0,177.54,48,79,30.46,1.25
"4",1475314821,"2016-09-30","23:40:21",13.5,167.56,48,79,30.46,1.25
"5",1475314522,"2016-09-30","23:35:22",15.75,177.81,48,79,30.47,1.27
"6",1475314227,"2016-09-30","23:30:27",7.87,140.58,48,79,30.47,1.29
"7",1475313921,"2016-09-30","23:25:21",10.12,171.63,48,80,30.47,1.23
"8",1475313621,"2016-09-30","23:20:21",10.12,166.84,48,84,30.47,1.25
"9",1475313321,"2016-09-30","23:15:21",14.62,151.93,48,86,30.47,1.27
"10",1475313024,"2016-09-30","23:10:24",10.12,173.83,48,88,30.47,1.24
"11",1475312722,"2016-09-30","23:05:22",10.12,151.69,48,88,30.47,1.26
"12",1475312426,"2016-09-30","23:00:26",11.25,168.38,49,89,30.47,1.26
"13",1475312123,"2016-09-30","22:55:23",7.87,91.28,49,91,30.47,1.28
"14",1475311823,"2016-09-30","22:50:23",13.5,124.02,49,96,30.47,1.25
"15",1475311522,"2016-09-30","22:45:22",7.87,120.72,49,99,30.47,1.27
"16",1475311225,"2016-09-30","22:40:25",3.37,147.66,49,99,30.47,1.27
"17",1475310922,"2016-09-30","22:35:22",11.25,167.92,49,99,30.47,1.25
"18",1475310623,"2016-09-30","22:30:23",6.75,112.55,49,100,30.48,1.27
"19",1475310319,"2016-09-30","22:25:19",10.12,132.28,50,100,30.48,1.24
"20",1475310019,"2016-09-30","22:20:19",9.0,106.89,50,100,30.48,1.25
"21",1475309719,"2016-09-30","22:15:19",5.62,172.54,50,100,30.48,1.26
"22",1475309423,"2016-09-30","22:10:23",5.62,87.97,50,100,30.48,1.25
"23",1475309124,"2016-09-30","22:05:24",11.25,150.41,51,100,30.48,1.26
"24",1475308820,"2016-09-30","22:00:20",4.5,102.63,51,100,30.48,1.28
"25",1475308522,"2016-09-30","21:55:22",4.5,154.94,51,100,30.48,1.24
"26",1475308221,"2016-09-30","21:50:21",4.5,87.88,51,100,30.48,1.26
"27",1475307921,"2016-09-30","21:45:21",4.5,96.52,51,100,30.48,1.27
"28",1475307625,"2016-09-30","21:40:25",4.5,98.15,50,99,30.48,1.26
